Datetime,Water Level (m)
2023-10-14 00:00:00,0.9856616
2023-10-14 01:00:00,0.9130422
2023-10-14 02:00:00,0.76013786
2023-10-14 03:00:00,0.63167316
2023-10-14 04:00:00,0.5277163
2023-10-14 05:00:00,0.44921482
2023-10-14 06:00:00,0.39068183
2023-10-14 07:00:00,0.35652575
2023-10-14 08:00:00,0.46862432
2023-10-14 09:00:00,0.765936
2023-10-14 10:00:00,1.0913798
2023-10-14 11:00:00,1.2858738
2023-10-14 12:00:00,1.3735894
2023-10-14 13:00:00,1.2959824
2023-10-14 14:00:00,1.1201801
2023-10-14 15:00:00,0.9798066
2023-10-14 16:00:00,0.8593856
2023-10-14 17:00:00,0.76231873
2023-10-14 18:00:00,0.68254995
2023-10-14 19:00:00,0.622743
2023-10-14 20:00:00,0.6565882
2023-10-14 21:00:00,0.91588724
2023-10-14 22:00:00,1.259441
2023-10-14 23:00:00,1.5023763
2023-10-15 00:00:00,1.6301285
2023-10-15 01:00:00,1.5836158
2023-10-15 02:00:00,1.4092953
2023-10-15 03:00:00,1.2568502
2023-10-15 04:00:00,1.1229751
2023-10-15 05:00:00,1.0129029
2023-10-15 06:00:00,0.92069864
2023-10-15 07:00:00,0.8432109
2023-10-15 08:00:00,0.8013637
2023-10-15 09:00:00,0.95668507
2023-10-15 10:00:00,1.2489797
2023-10-15 11:00:00,1.5357362
2023-10-15 12:00:00,1.6648237
2023-10-15 13:00:00,1.6153222
2023-10-15 14:00:00,1.4648988
2023-10-15 15:00:00,1.3207557
2023-10-15 16:00:00,1.1932559
2023-10-15 17:00:00,1.0843484
2023-10-15 18:00:00,0.99174
2023-10-15 19:00:00,0.91211706
2023-10-15 20:00:00,0.85811156
2023-10-15 21:00:00,0.9710432
2023-10-15 22:00:00,1.2664146
2023-10-15 23:00:00,1.5988894
2023-10-16 00:00:00,1.7804193
2023-10-16 01:00:00,1.8107171
2023-10-16 02:00:00,1.6510859
2023-10-16 03:00:00,1.4863055
2023-10-16 04:00:00,1.3397404
2023-10-16 05:00:00,1.217183
2023-10-16 06:00:00,1.1132635
2023-10-16 07:00:00,1.0248915
2023-10-16 08:00:00,0.9508686
2023-10-16 09:00:00,0.94735026
2023-10-16 10:00:00,1.1510894
2023-10-16 11:00:00,1.4353229
2023-10-16 12:00:00,1.6525276
2023-10-16 13:00:00,1.6852319
2023-10-16 14:00:00,1.5667505
2023-10-16 15:00:00,1.426249
2023-10-16 16:00:00,1.2957013
2023-10-16 17:00:00,1.1774802
2023-10-16 18:00:00,1.0774322
2023-10-16 19:00:00,0.9916974
2023-10-16 20:00:00,0.9195749
2023-10-16 21:00:00,0.91596
2023-10-16 22:00:00,1.1329799
2023-10-16 23:00:00,1.4568745
2023-10-17 00:00:00,1.726134
2023-10-17 01:00:00,1.8673258
2023-10-17 02:00:00,1.7608054
2023-10-17 03:00:00,1.5910599
2023-10-17 04:00:00,1.4356656
2023-10-17 05:00:00,1.3006271
2023-10-17 06:00:00,1.1868856
2023-10-17 07:00:00,1.0899686
2023-10-17 08:00:00,1.0071375
2023-10-17 09:00:00,0.94882226
2023-10-17 10:00:00,1.0261496
2023-10-17 11:00:00,1.2601327
2023-10-17 12:00:00,1.5220344
2023-10-17 13:00:00,1.6474065
2023-10-17 14:00:00,1.5917013
2023-10-17 15:00:00,1.4637619
2023-10-17 16:00:00,1.3310838
2023-10-17 17:00:00,1.2105417
2023-10-17 18:00:00,1.1048983
2023-10-17 19:00:00,1.0137062
2023-10-17 20:00:00,0.9347994
2023-10-17 21:00:00,0.88173735
2023-10-17 22:00:00,0.9825435
2023-10-17 23:00:00,1.2556912
2023-10-18 00:00:00,1.5806949
2023-10-18 01:00:00,1.7742012
2023-10-18 02:00:00,1.812723
2023-10-18 03:00:00,1.6637702
2023-10-18 04:00:00,1.5001574
2023-10-18 05:00:00,1.3529022
2023-10-18 06:00:00,1.2292134
2023-10-18 07:00:00,1.1238283
2023-10-18 08:00:00,1.0348011
2023-10-18 09:00:00,0.9600786
2023-10-18 10:00:00,0.9366847
2023-10-18 11:00:00,1.0813305
2023-10-18 12:00:00,1.3181015
2023-10-18 13:00:00,1.5212727
2023-10-18 14:00:00,1.5573767
2023-10-18 15:00:00,1.4631017
2023-10-18 16:00:00,1.3398911
2023-10-18 17:00:00,1.2182575
2023-10-18 18:00:00,1.1089774
2023-10-18 19:00:00,1.0142905
2023-10-18 20:00:00,0.93244326
2023-10-18 21:00:00,0.86295724
2023-10-18 22:00:00,0.8552093
2023-10-18 23:00:00,1.0461723
2023-10-19 00:00:00,1.3427694
2023-10-19 01:00:00,1.6152527
2023-10-19 02:00:00,1.7512372
2023-10-19 03:00:00,1.7041458
2023-10-19 04:00:00,1.5433316
2023-10-19 05:00:00,1.3903314
2023-10-19 06:00:00,1.2560202
2023-10-19 07:00:00,1.1420159
2023-10-19 08:00:00,1.046037
2023-10-19 09:00:00,0.96364367
2023-10-19 10:00:00,0.8985142
2023-10-19 11:00:00,0.91172606
2023-10-19 12:00:00,1.0714189
2023-10-19 13:00:00,1.2923428
2023-10-19 14:00:00,1.4300065
2023-10-19 15:00:00,1.4163219
2023-10-19 16:00:00,1.3227948
2023-10-19 17:00:00,1.2110851
2023-10-19 18:00:00,1.1015257
2023-10-19 19:00:00,1.0032957
2023-10-19 20:00:00,0.9178109
2023-10-19 21:00:00,0.8425581
2023-10-19 22:00:00,0.7900242
2023-10-19 23:00:00,0.84583455
2023-10-20 00:00:00,1.0541401
